match_time,jc_order,league,home_team,away_team,score,bet365,hg,bet10,lb,ms,ac,snai,wl,ysb,wd,iw,bet12,lj,yh,bet18,jc,ybb,pb
20170201,,球会友谊,顿涅茨克矿工,亚布洛内茨,2-2,"1.330,4.330,8.500,1.000,1.5,0.800,0.950,3.25,0.850","1.290,5.200,7.500,0.900,1.50,0.980,0.800,3.00,1.060","1.410,4.550,6.200,0.880,1.50,0.980,0.840,3.00,0.990",,"1.280,5.000,7.200,0.840,1.50,1.000,0.800,3.00,1.020",,,,"1.300,5.000,6.600,0.940,1.50,0.890,0.780,3.00,1.050","1.330,4.600,6.500,0.850,1.50,0.960,0.550,2.50,1.300",,"1.280,5.000,7.200,0.840,1.50,1.000,0.800,3.00,1.020","1.300,5.000,7.600,0.860,1.50,0.980,0.870,3.00,0.950","1.290,5.200,7.500,0.910,1.50,0.980,0.810,3.00,1.060",".000,.000,.000,1.030,1.50,0.870,0.760,3.00,1.140",,,
20170201,,球会友谊,葡萄牙U18,摩洛哥U18,4-0,"1.240,5.300,7.900,1.070,1.75,0.750,1.000,3.25,0.800","1.240,5.300,7.900,0.750,1.75,0.950,0.750,3.25,0.950",".000,.000,.000,0.850,1.50,0.870,0.930,3.25,0.800",,".000,.000,.000,1.000,1.75,0.880,1.020,3.25,0.840",,,,"1.270,5.600,5.700,1.020,1.75,0.770,0.960,3.25,0.820",,,".000,.000,.000,1.020,1.75,0.860,1.020,3.25,0.840","1.270,5.600,6.400,0.930,1.75,0.950,1.010,3.25,0.850","1.240,5.300,7.900,0.760,1.75,0.950,0.760,3.25,0.950",".000,.000,.000,1.160,1.75,0.740,1.020,3.25,0.840",,,
20170203,,国际友谊,葡萄牙U18,摩洛哥U18,0-0,"1.230,5.300,8.300,1.020,1.75,0.840,1.130,3.25,0.720","1.200,5.600,9.100,1.120,2.00,0.750,0.990,3.25,0.850","1.170,6.350,12.250,1.130,2.25,0.750,0.980,3.25,0.850",,"1.230,5.000,9.400,1.000,2.50,0.700,0.830,3.25,0.870",,,,"1.220,5.200,7.800,1.100,2.25,0.710,0.930,3.25,0.850","1.180,6.000,12.000,1.050,2.00,0.810,0.470,2.50,1.620",,"1.230,5.000,9.400,1.000,2.50,0.700,0.830,3.25,0.870","1.220,5.200,8.750,0.800,2.50,0.900,0.850,3.25,0.850","1.200,5.600,9.100,1.130,2.00,0.750,1.000,3.25,0.850",".000,.000,.000,1.030,1.75,0.850,1.010,3.00,0.850",,,
20170203,,球会友谊,多马日利采,索科洛夫,1-1,"4.750,4.750,1.450,1.080,-1.0,0.720,0.700,3.25,1.100","4.250,4.200,1.540,0.870,-1.00,0.950,0.900,3.25,0.900","4.650,5.150,1.470,1.000,-1.00,0.860,0.900,3.25,0.910",,"5.500,3.850,1.470,0.860,-1.00,0.980,0.900,3.25,0.920",,,,"4.500,5.000,1.430,0.970,-1.00,0.860,0.860,3.25,0.950","4.600,5.000,1.440,0.870,-1.00,0.940,0.400,2.50,1.750",,"5.500,3.850,1.470,0.860,-1.00,0.980,0.900,3.25,0.920",,"4.250,4.200,1.540,0.880,-1.00,0.950,0.910,3.25,0.900","5.600,4.200,1.420,1.090,-1.00,0.760,0.680,3.25,1.160",,,
20170205,,英U23,利物浦U23,热刺U23,3-2,"1.600,3.800,4.330,0.850,0.75,0.950,0.900,3.0,0.900","1.560,3.950,4.450,0.720,0.75,1.110,0.840,3.00,0.960","1.640,3.750,4.250,0.780,0.75,1.050,0.810,3.00,0.960",,"1.570,3.600,4.850,0.790,0.75,1.050,0.840,3.00,0.980",,,,"1.570,3.900,4.800,0.750,0.75,1.140,0.910,3.00,0.950","1.600,3.800,4.300,0.830,0.75,1.060,0.530,2.50,1.400",,"1.570,3.600,4.850,0.790,0.75,1.050,0.840,3.00,0.980","1.670,3.600,4.100,0.880,0.75,1.000,0.910,3.00,0.950","1.530,4.000,4.600,0.780,0.75,1.050,0.850,3.00,0.960",,,,
20170205,,希腊U20,奥林比亚高斯U20,伊拿克里斯U20,2-0,"1.100,8.000,15.000,0.980,2.5,0.820,0.950,3.75,0.850","1.080,7.300,11.000,0.900,2.50,0.800,0.800,3.75,0.900","1.100,8.000,12.000,0.940,2.50,0.840,0.850,3.75,0.930",,".000,.000,.000,0.930,2.50,0.830,0.840,3.75,0.920",,,,"1.130,8.000,7.700,0.920,2.50,0.850,0.870,3.75,0.900",,,".000,.000,.000,0.930,2.50,0.830,0.840,3.75,0.920",,"1.080,7.300,11.000,0.910,2.50,0.800,0.810,3.75,0.900",,,,
20170205,周六050,法甲,摩纳哥,尼斯,3-0,"1.570,4.000,6.000,1.020,1.0,0.900,0.920,2.75,1.000","1.740,3.650,3.950,0.770,0.50,1.120,0.800,2.50,1.060","1.800,3.400,4.350,0.810,0.50,1.010,0.720,2.50,1.070","1.850,3.500,4.200,0.850,0.50,0.950,1.000,2.50,0.800","1.730,3.450,4.700,0.900,0.50,1.020,1.050,2.50,0.850","1.550,3.900,4.750,1.040,1.00,0.800,0.850,2.75,0.950",,,"1.580,3.700,5.100,1.080,1.00,0.830,0.840,2.75,1.040","1.850,3.600,4.500,0.850,0.50,1.060,0.730,2.50,1.100",,"1.730,3.450,4.700,0.900,0.50,1.020,1.050,2.50,0.850","1.760,3.300,4.800,0.870,0.50,1.050,0.800,2.50,1.110","1.740,3.650,3.950,0.780,0.50,1.120,0.790,2.50,1.080","1.750,3.290,4.790,0.760,0.50,1.170,0.790,2.50,1.100",,,
20170205,,以超,海法夏普尔,布奈萨克宁哈普尔,0-1,"2.450,3.000,2.800,0.780,0.0,1.020,1.080,2.25,0.720","2.390,3.050,2.680,0.800,0.00,1.020,1.000,2.25,0.800","2.550,3.050,2.700,0.800,0.00,1.060,1.050,2.25,0.780",,"2.400,3.050,2.670,0.800,0.00,1.040,1.030,2.25,0.790",,,,"2.380,3.000,2.900,0.810,0.00,1.110,1.080,2.25,0.770","2.450,2.880,2.620,0.750,0.00,1.000,1.200,2.50,0.620",,"2.400,3.050,2.670,0.800,0.00,1.040,1.030,2.25,0.790","2.380,3.000,2.730,0.790,0.00,1.050,0.960,2.25,0.860","2.390,3.050,2.680,0.810,0.00,1.020,1.010,2.25,0.800","2.450,3.150,3.050,1.140,0.25,0.760,0.930,2.25,0.930",,,
20170209,,国际友谊,比利时U18,日本U18,1-2,"2.360,3.450,2.470,1.130,0.25,0.700,1.000,2.75,0.800","2.360,3.450,2.470,0.950,0.50,0.750,0.800,2.75,0.900","2.500,3.150,2.650,0.870,0.00,0.990,0.710,2.50,1.140",,"2.500,3.000,2.580,1.100,0.25,0.750,0.780,2.50,1.040",,,,"2.400,3.100,2.500,0.850,0.00,0.930,0.690,2.50,1.140",,,"2.530,3.050,2.510,1.090,0.25,0.750,0.780,2.50,1.040","2.330,3.150,2.690,1.020,0.25,0.820,0.770,2.50,1.050","2.360,3.450,2.470,0.960,0.50,0.750,0.810,2.75,0.900",".000,.000,.000,1.080,-0.25,0.740,0.840,2.00,0.940",,,
20170209,,球会友谊,诺瓦维斯,西甘德,2-2,"1.610,4.000,4.500,0.800,0.75,1.000,1.050,3.0,0.750",,"1.660,3.850,4.500,0.840,0.75,1.030,1.020,3.00,0.810",,".000,.000,.000,0.850,0.75,0.950,1.000,3.00,0.800",,,,"1.620,3.800,4.200,0.870,0.75,0.960,0.780,2.75,1.050",,,".000,.000,.000,0.850,0.75,0.950,1.000,3.00,0.800",,,,,,
